location_id,location_name,street_name,locality,sub_locality,city,district,state,pincode,location_type,tourist_destination,latitude,longitude,predicted_safety_score,predicted_risk_level
LOC_000001,Mumbai,,Mumbai,,Mumbai,,Maharashtra,,city,0,19.07283,72.88261,67.99277698412699,MODERATE
LOC_000002,Delhi,,Delhi,,Delhi,,Delhi,,city,0,28.65195,77.23149,65.29317987012988,MODERATE
LOC_000003,Bengaluru,,Bengaluru,,Bengaluru,,Karnataka,,city,0,12.97194,77.59369,67.10119841269844,MODERATE
LOC_000004,Hyderabad,,Hyderabad,,Hyderabad,,Telangana,,city,0,17.38405,78.45636,66.47878968253968,MODERATE
LOC_000005,Ahmedabad,,Ahmedabad,,,,Gujarat,,village,0,23.02579,72.58727,62.354336898254076,MODERATE
LOC_000006,Chennai,,Chennai,,Chennai,,Tamil Nadu,,city,0,13.08784,80.27847,67.29091507936508,MODERATE
LOC_000007,Kolkata,,Kolkata,,Kolkata,,West Bengal,,city,0,22.56263,88.36304,67.561473015873,MODERATE
LOC_000008,Surat,,Surat,,Surat,,Gujarat,,city,0,21.19594,72.83023,68.32344603174603,MODERATE
LOC_000009,Pune,,Pune,,,,Maharashtra,,village,0,18.51957,73.85535,61.91426870054942,MODERATE
LOC_000010,Jaipur,,Jaipur,,Jaipur,,Rajasthan,,city,0,26.91962,75.78781,67.76811979949873,MODERATE
LOC_000011,Kanpur,,Kanpur,,,,Uttar Pradesh,,village,0,26.46523,80.34975,56.609844190122814,MODERATE
LOC_000012,Navi Mumbai,,Navi Mumbai,,,,Maharashtra,,neighbourhood,0,19.03681,73.01582,64.2787722222222,MODERATE
LOC_000013,Lucknow,,Lucknow,,Lucknow,,Uttar Pradesh,,city,0,26.83928,80.92313,66.9831753968254,MODERATE
LOC_000014,Nagpur,,Nagpur,,Nagpur,,Maharashtra,,city,0,21.14631,79.08491,71.70901190476192,SAFE
LOC_000015,Coimbatore,,Coimbatore,,,,Tamil Nadu,,village,0,11.00555,76.96612,63.48121136943531,MODERATE
LOC_000016,Indore,,Indore,,,,Madhya Pradesh,,village,0,22.71792,75.8333,56.69474963351509,MODERATE
LOC_000017,Thāne,,Thāne,,,,Maharashtra,,village,0,19.19704,72.96355,58.74609039609227,MODERATE
